City,Latitude,Longitude,Rent,Air,Healthcare,Safety,University,Population,Scores,Livabitlity,Clusters
Aberdeen,57.1498891,-2.0937528,0.906,0.866,0.868,0.959,0.053,0.92,0.82142,0,
Armagh,54.3502798,-6.652792,0.95,0.948,0.985,0.972,0.003,0.518,0.7887,0,
Bangor(NI),54.6538,-5.6736,0.995,0.897,0.772,0.997,0.003,0.955,0.83264,0,
Bangor(W),53.22739,-4.129263,0.951,0.881,0.933,0.926,0.053,0.379,0.74124,1,
Bath,51.3781018,-2.3596827,0.758,0.959,0.793,0.92,0.405,0.7,0.77578,1,
Belfast,54.597285,-5.93012,0.835,0.959,0.855,0.357,0.644,0.172,0.61984,2,
Birmingham,52.4822694,-1.8900078,0.855,0.938,0.932,0.941,0.723,0.015,0.73316,1,
Bradford,53.7937996,-1.7563583,0.957,0.938,0.869,0.974,0.063,0.976,0.85454,0,
Brighton and Hove,50.8351605,-0.1261028,0.683,0.943,0.974,0.987,0.219,0.894,0.82478,0,
Bristol,51.454513,-2.58791,0.705,0.851,0.596,0.92,0.465,0.029,0.59804,3,
Cambridge,52.1950788,0.1312729,0.668,0.851,0.974,0.955,0.9,0.208,0.74896,1,
Canterbury,51.2770331,1.0837855,0.832,0.887,0.996,0.601,0.24,0.988,0.79408,0,
Cardiff,51.483707,-3.1680962,0.799,0.881,0.945,0.992,0.742,0.644,0.84304,0,
Carlisle,54.892473,-2.932931,0.989,0.768,0.87,0.836,0.056,0.647,0.75322,1,
Chelmsford,51.7355868,0.4685497,0.774,0.995,0.95,0.579,0.063,0.963,0.75964,1,
Chester,53.193392,-2.893075,0.9,0.784,0.754,0.961,0.053,0.077,0.63624,2,
Chichester,50.83761,-0.774936,0.79,0.892,0.978,0.988,0.067,0.677,0.7868,0,
City of London,51.5134068,-0.0890441,0.205,0.809,0.983,0.817,0.472,0.094,0.5622,3,
City of Westminster,51.5072052,-0.1276514,0,0.809,0.951,0.62,0.589,0,0.47018,3,
Colchester,51.895927,0.891874,0.856,0.897,0.9,0.966,0.07,0.004,0.65976,2,
Coventry,52.4128163,-1.5089521,0.878,0.876,0.869,0.877,0.127,0.126,0.6653,2,
Derby,52.9225301,-1.4746186,0.945,0,0.925,0.42,0.145,0.174,0.50382,3,
Derry,54.9964705,-7.3101358,0.942,0.871,0.645,0.994,0,0,0.62072,2,
Doncaster,53.5227501,-1.132336,0.974,0.954,0.814,0.13,0,0.068,0.51032,3,
Dundee,56.462018,-2.970721,0.915,0.912,0.889,0.982,0,0.455,0.74854,1,
Dunfermline,56.071741,-3.452151,0.923,0.84,0.885,0.994,0,0.977,0.83706,0,
Durham,54.7753,-1.5849,0.998,0.789,0.977,0.993,0.539,0.911,0.90616,0,
Edinburgh,55.953252,-3.188267,0.719,0.804,0.922,0.875,0,0.969,0.7741,1,
Ely,52.399539,0.262363,0.878,0.866,0.972,0.974,0.053,0.823,0.82216,0,
Exeter,50.7260367,-3.5274889,0.827,0.995,0.954,0.91,0.13,0.613,0.78094,1,
Glasgow,55.8616704,-4.2583345,0.803,0.716,0,0.845,0,0.041,0.4229,3,
Gloucester,51.8642449,-2.238156,0.897,0.892,0.914,0.954,0.06,0.343,0.72778,2,
Hereford,52.056398,-2.715974,0.941,0.881,0.92,0.79,0,0.308,0.69136,2,
Inverness,57.477773,-4.224721,0.938,0.845,0.91,0.97,0,0.96,0.8378,0,
Kingston upon Hull,53.7674909,-0.3273025,0.992,0.881,0.857,0.974,0.056,0.025,0.68042,2,
Lancaster,54.0449072,-2.7993467,0.948,0.851,0.969,0.95,0.137,0.497,0.77868,1,
Leeds,53.8007554,-1.5490774,0.851,0.871,0.89,0.862,0.617,0,0.68682,2,
Leicester,52.6368778,-1.1397592,0.906,0.887,0.626,0.892,0,0.007,0.5925,3,
Lichfield,52.681602,-1.831672,0.883,0.84,0.956,0.986,0,0.765,0.8035,0,
Lincoln,53.2331,-0.5392,0.924,0.732,0.984,0.997,0.23,0.072,0.7048,2,
Lisburn,54.516246,-6.0580106,0.889,0.964,0.621,0.997,0,0.031,0.62266,2,
Liverpool,53.4083714,-2.9915726,0.923,0.84,0.942,0.907,0.554,0,0.7106,2,
Manchester,53.4807593,-2.2426305,0.8,0.881,0.934,0.855,0.564,0.021,0.6837,2,
Milton Keynes,52.0406224,-0.7594171,0.783,0.897,0.319,0.946,0,0.671,0.63802,2,
Newcastle,54.978252,-1.61778,0.888,0.835,0.929,0.989,0.07,0.969,0.84282,0,
Newport,51.5842,-2.9977,0.88,0.856,0.966,0.986,0.13,0.622,0.79408,0,
Newry,54.1751024,-6.3402299,0.938,1,0.903,0.857,0,0.487,0.74726,1,
Norwich,52.6292567,1.2978802,0.869,0.876,0.904,0.921,0.063,0.095,0.66732,2,
Nottingham,52.9540223,-1.1549892,0.886,0.959,0.505,0.586,0,0.014,0.513,3,
Oxford,51.7520209,-1.2577263,0.667,0.876,0.935,0.423,0.789,0.152,0.61638,3,
Perth,56.3969,", -3.4370",0.943,0.892,0.955,0.986,0.053,0.921,0.85492,0,
Peterborough,52.5703169,-0.2407997,0.903,0.706,0.809,0.69,0.056,0.445,0.65082,2,
Plymouth,50.3754565,-4.1426565,0.904,0.83,0.94,0.99,0.074,0.609,0.78342,1,
Portsmouth,50.8197675,-1.0879769,0.824,0.866,0.948,0.971,0.137,0.667,0.78628,1,
Preston,53.7591576,-2.7046445,0.957,0.825,0.915,0.851,0.053,0.924,0.81522,0,
Ripon,54.1361346,-1.5237756,0.929,0.809,0.962,0.954,0.053,0.06,0.68218,2,
Salford,53.4872927,-2.2900071,0.832,0.82,0.845,1,0.07,0,0.6408,2,
Salisbury,51.068785,-1.794472,0.882,0.881,0.921,0.582,0.067,0.029,0.59464,3,
Sheffield,53.381129,-1.470085,0.906,0.892,0.897,0.89,0.13,0.998,0.83828,0,
Southampton,50.9105468,-1.4049018,0.839,0.84,0.894,0.55,0.134,0.003,0.57134,3,
Southend-on-Sea,51.5459269,0.7077123,0.84,0.876,0.689,0.995,0.06,0.886,0.7754,1,
St Albans,51.7508784,-0.3397723,0.688,0.763,0.916,0.892,0.056,0.09,0.61256,3,
St Asaph,53.2577125,-3.4418762,0.947,0.814,0.987,0.982,0,0.952,0.85224,0,
St Davids,51.881227,-5.265995,0.961,0.825,0.999,0.997,0,0.682,0.81316,0,
