City,1_BedRoom,2_BedRoom,3_BedRoom,4+_BedRoom,Points
Aberdeen,594,773,966,1596,
Armagh,510,656,773,1039,
Bangor(NI),432,500,588,600,
Bangor(W),524,630,750,1000,
Bath,921,1182,1470,2609,
Belfast,805,932,1067,1545,
Birmingham,770,879,947,1365,
Bradford,511,607,713,1031,
Brighton and Hove,1051,1430,1890,2640,
Bristol,1041,1340,1608,2753,
Cambridge,1176,1438,1600,1780,
Canterbury,751,1005,1216,1752,
Cardiff,881,1052,1162,1660,
Carlisle,427,529,658,935,
Chelmsford,926,1122,1331,1790,
Chester,629,772,929,1448,
Chichester,848,1106,1374,2105,
City of London,2137,2685,3500,6000,
City of Westminster,2384,3345,4912,9324,
Colchester,717,901,1164,1499,
Coventry,698,814,946,1483,
Derby,519,662,794,1129,
Derry,528,679,774,1072,
Doncaster,475,566,628,977,
Dundee,563,746,979,1713,
Dunfermline,546,728,958,1559,
Durham,421,486,574,906,
Edinburgh,1000,1293,1662,2685,
Ely,666,844,1061,1554,
Exeter,770,981,1226,2252,
Glasgow,819,1067,1313,2234,
Gloucester,630,781,996,1488,
Hereford,519,676,862,1232,
Inverness,511,686,911,1433,
Kingston upon Hull,437,508,593,796,
Lancaster,532,636,749,915,
Leeds,733,914,1039,2078,
Leicester,602,782,902,1510,
Lichfield,660,828,1011,1477,
Lincoln,597,694,787,1082,
Lisburn,645,831,958,1344,
Liverpool,594,708,789,1100,
Manchester,860,1051,1213,1921,
Milton Keynes,896,1100,1331,1732,
Newcastle,664,784,943,1760,
Newport,682,844,937,1336,
Newry,542,679,779,1079,
Norwich,715,856,952,1593,
Nottingham,686,801,873,1369,
Oxford,1160,1408,1698,2693,
Perth,502,675,897,1437,
Peterborough,630,769,890,1261,
Plymouth,618,768,913,1374,
Portsmouth,778,1007,1170,2243,
Preston,505,620,696,1056,
Ripon,543,715,873,1415,
Salford,827,910,1082,1510,
Salisbury,667,816,1046,1571,
Sheffield,642,738,816,1262,
Southampton,745,971,1183,1652,
Southend-on-Sea,739,967,1216,1620,
St Albans,1027,1429,1878,2795,
St Asaph,517,665,763,1056,
St Davids,492,612,724,1000,
Stirling,583,801,1052,1742,
Stoke-on-Trent,452,530,659,926,
Sunderland,492,564,639,926,
Swansea,648,752,842,1213,
Truro,603,766,938,1446,
Wakefield,549,663,801,1130,
Wells,866,1203,1502,2439,
Winchester,917,1122,1402,2182,
Wolverhampton,523,677,800,1090,
Worcester,619,764,913,1234,
Wrexham,580,689,813,1197,
York,770,906,1063,1905,
